Difficulty,Puzzle
0.30,[o   o     o   o oo         o   o o o          oo]
0.30,[o   o     o    ooo         o   oo         o   oo]
0.60,[o       o o o  o  o        o  o   o     o     oo]
0.60,[o   o     o    ooo         o  o o o           oo]
0.60,[oo  o         o oo  o         o  o         o  oo]
0.60,[    o   o o    ooo         o  o  o         o  oo]
0.60,[oo          o o oo            o o   o     o  o o]
0.60,[  o o   o     o oo            ooo         o   oo]
0.60,[  o oo  o       oo  o         o  o         o  oo]
0.60,[oo  o         o oo  o         o o         o   oo]
0.60,[o o o   o o o  o              o  o   o     o   o]
0.60,[o   o     o   o oo         o  o o   oo    o     ]
0.60,[    o   o o    ooo         o  o o         o   oo]
0.60,[o o o   o o o  o              o   o o   o     o ]
0.60,[oo  o       o  ooo            o o   o     o   o ]
0.60,[o o o   o o   o     o         o o         o   oo]
0.60,[o o o   o o   o     o         o  o         o  oo]
0.60,[o o o   o o o  o              o o   o     o   o ]
0.60,[  o oo  o       oo  o         o o         o   oo]
0.60,[o   o     o   o oo         o  o   o     o     oo]
0.60,[o o o   o o   o      o            o o  oo      o]
0.60,[o o o   o o   o     o            o   o o   o   o]
0.60,[oo  o         o oo   o         oo         o   oo]
0.60,[o o oo  o          o o         oo         o   oo]
0.78,[o   o     o o  ooo            o  o         o  oo]
0.78,[o o oo  o o         o         o  o   o     o   o]
0.78,[oo    o     o   oo            oo o   o     o   o]
0.78,[o   o         o ooo        o   oo         o   oo]
0.78,[oo  oo          oo  o         o  o   o     o   o]
0.78,[o o o   o o  o o     o          o   o     o    o]
0.78,[oo  o          ooo            o o   o o   o    o]
0.78,[o o   o o o o       o         o  o         o  oo]
0.90,[o o     o   o o   o        o  o o         o   oo]
0.90,[o o     o   o  o  o        o   oo         o   oo]
0.90,[    o   o o   o  o      o  o   oo o           oo]
0.90,[oo  o       o  o o         o  o      o    oo   o]
0.90,[o   o   o o    o  o        o  o o o           oo]
0.90,[o o o        o  oo  o            o   o o   o   o]
0.90,[ oo o    oo   o     o         o o         o   oo]
0.90,[o o o o   o      o  oo     o    o   o         o ]
0.90,[ o ooo    o     o   o         o o o           oo]
0.90,[o o  o    o o   o   o         o o         o   oo]
0.90,[o   o    o    o oo            o o o o       o  o]
0.90,[  o o   o   o o oo             o  o     o     oo]
0.90,[o o oo     o     o  o       o o o o            o]
0.90,[o o o       o  ooo   o        o o         o   o ]
0.90,[o o o     o   o o   oo           o o          oo]
0.90,[o       o o o  o  o        o  o o         o   oo]
0.90,[oo    o     o   ooo            o     o   o o   o]
0.90,[    o   oo    o oo  o         o  o         o  oo]
0.90,[    o   oo  o  ooo            o  o   o     o   o]
0.90,[ oo o     o   o  o  o      o  o o             oo]
0.90,[o o o o   o      o  o      o  o o             oo]
0.90,[o o  o      o   oo  o         o o         o   oo]
0.90,[    o   oo    o oo  o         o o         o   oo]
0.90,[o   o     o    ooo         o  o o o oo          ]
0.90,[ oo     o   o  o  o        o   oo o           oo]
0.90,[ oo o     o o o  o         o   oo    o         o]
0.90,[o o       o o o  o  o      o  o o             oo]
0.90,[o   o    o  o o oo            o  o   o     o   o]
0.90,[o o o     o   o o                o  o  o   o o o]
0.90,[  o oo  o       oo  o            o   o o   o   o]
0.90,[o   o    o  o o oo            o o   o     o   o ]
0.90,[o o oo  o o         o         o o    o    o    o]
0.90,[ oo o    oo o  o              o  o   o     o   o]
0.90,[o o   o o   o      o          ooo         o   oo]
0.90,[    o   oo  o  ooo            o o   o     o   o ]
0.90,[ oo oo  o         o o         o   o     o     oo]
0.90,[oo    o     o   o         o   ooo         o   oo]
0.90,[o o o     o o o  o         o  o o   o         o ]
0.90,[o o  o  o o o       o o         o   o     o   o ]
0.90,[oo  o         o  oo o      o  o  o            oo]
0.90,[ oo       o oo  o   o            o   o o   o   o]
0.90,[oo  o         o o   oo        o  o  oo         o]
0.90,[ oo o     o   o o             oo  o     o     oo]
0.90,[ o  oo  o       o o o         o  o         o  oo]
0.90,[  o oo  o        o  o   o     o o o           oo]
0.90,[o  ooo  o        o  o         o o o o         o ]
0.90,[ oo       o oo  o   oo          o   o     o   o ]
0.90,[oo  oo          oo  o         o o    o    o    o]
0.90,[o o o     o o  oo             o o   o     o  o  ]
0.90,[ oo     o   o o   o        o  o o o           oo]
0.90,[o o o     o o   o      o       o o         o o o]
0.90,[o o   o o o o                  o  o o   o    o o]
0.90,[oo  o          o oo        o  o o o           oo]
0.90,[o o  o    o o   o   o         o  o         o  oo]
0.90,[o   o   o o   o   o        o  o   o     o     oo]
0.90,[o o o        o  oo  oo          o   o     o   o ]
1.08,[ o  o   o     o oo  o         o o o           oo]
1.08,[ oo o   o o    o    o         o   o     o     oo]
1.08,[ oo o   o   o  o  o  o        o  o    o    o    ]
1.08,[o o o    o  o o  o         o   oo   o         o ]
1.08,[oo  o       o o o         o    ooo   o         o]
1.08,[oo   o      o   oo  o         o  o o o         o]
1.08,[o   o     o o o oo             oo   oo    o     ]
1.08,[ oo oo  o o         o          o  o o   o     o ]
1.08,[oo          o o            o  oooo   o     o   o]
1.08,[ o  oo  o       oo  o         o  o o o         o]
1.08,[ oo oo  o o         o         o  o o o         o]
1.08,[o o  o  o   o      oo         o o o           oo]
1.08,[o   o     o   o oo   o        o oo  o          o]
1.08,[ oo o   o o o o                o o         o o o]
1.08,[ oo  o    o o    o  o         o  o         o  oo]
1.08,[ o  o   o   o o oo             oo o  o         o]
1.08,[oo  oo          o   oo    o     o    o    o    o]
1.08,[o   oo    o     oo  o         o   o     o     oo]
1.08,[o o o     o  o   o  o           o o  o o       o]
1.08,[o   o     o o o oo            o o   o     o  o  ]
1.08,[o   o    oo   o o   o      o  o   o           oo]
1.08,[ oo o   o o    o    o         o o         o   oo]
1.08,[o  oo   o o o  o              o o o o         o ]
1.08,[o o oo    o      o  o         o oo  o         o ]
1.08,[o o oo    o      o            o  o  o      oo  o]
1.08,[ oo o     o  o   o  o            o   o o   o   o]
1.08,[o o o    oo   o     oo            o o o o       ]
1.08,[oo  o     o o o   o            oo          o o o]
1.08,[oo  o         o o   o     o   o oo            oo]
1.08,[o o  o    o o   o             o  o  o      oo  o]
1.08,[ o  o   o o o o         o      oo         o   oo]
1.08,[o    o    o o   oo  o         o o o           oo]
1.08,[    o   o o o  ooo   o         oo   o     o     ]
1.08,[o o       o o o  o  o           o  o   o   o   o]
1.08,[oo  o     o    o  o        o  o   o      o    oo]
1.08,[o o oo    o      o  oo          o   o     o   o ]
1.08,[o o o   o   o  o  o  o        o  o         o  o ]
1.08,[o   oo    o     oo  oo           o   o     o   o]
1.08,[o   o     o o  ooo   o        o o   o     o     ]
1.08,[o     o   o o   oo            oo o         o  oo]
1.08,[o o o     o   o  o  oo     o    o   o o         ]
1.08,[o   o          oooo        o  o o         o   oo]
1.08,[o o o   o   o o    o           o o         o  oo]
1.08,[ o  o   o     o oo  o          o o         o  oo]
1.08,[oo          o o ooo           o      o   o o   o]
1.08,[o   o     o  o  oo  oo          o o o         o ]
1.08,[ o  o   o     o oo  o         o  o o          oo]
1.08,[ oo oo  o o         o o         o   o     o   o ]
1.08,[o   o   o     o  o    o    o    o o oo         o]
1.08,[o o o    o    o    o          ooo o           oo]
1.08,[ o  o   o      ooo  o         o  o         o  oo]
1.08,[ oo o   o o o o                oo o o         o ]
1.08,[o   o     o     oo   oo       o o o o          o]
1.08,[o    o  o o o       oo     o      o o o o       ]
1.08,[o o oo    o      o  o         o oo   o         o]
1.08,[ o  o o o       oo             o o  o      o o o]
1.08,[ oo o o o o o         o         o   o     o   o ]
1.08,[o   oo    o     oo  oo          o   o     o   o ]
1.08,[ oo oo   oo         o         o  o   o     o   o]
1.08,[ o    o o   o   oo            o  o oo       o  o]
1.08,[  o oo  o       o o o     o   o  o            oo]
1.08,[o o     o o oo      o         o o   o     o   o ]
1.08,[o o o    o    o  o  o      o  o o             oo]
1.08,[ o  o   o   o  ooo            o o o o         o ]
1.08,[o o o     o o  o o            o  o         o  oo]
1.08,[ o  o o o       oo  o         o  o         o  oo]
1.08,[o o  o      o   oo            o  o  o      oo  o]
1.08,[o o oo    o      o  o         o o         o   oo]
1.08,[ oo oo  o o         o         o o   o     o    o]
1.08,[o o o   o o  oo               o o   o     o   o ]
1.08,[o o oo  o o         o         o   o  o  o      o]
1.15,[o o  o      o  ooo            o o         o   oo]
